RESOURCETYPE,CERTIFICATION,ENABLED
Microsoft.DevTestLab/schedules,,TRUE
Microsoft.DocumentDB/databaseAccountNames,UDLM,TRUE
Microsoft.DocumentDB/databaseAccounts,UDLM,TRUE
Microsoft.DocumentDB/locations,UDLM,TRUE
Microsoft.DocumentDB/locations/deleteVirtualNetworkOrSubnets,UDLM,TRUE
Microsoft.DocumentDB/operationResults,UDLM,TRUE
Microsoft.DocumentDB/operations,UDLM,TRUE
Microsoft.DomainRegistration/checkDomainAvailability,,
Microsoft.DomainRegistration/domains,,
Microsoft.DomainRegistration/domains/domainOwnershipIdentifiers,,
Microsoft.DomainRegistration/generateSsoRequest,,
Microsoft.DomainRegistration/listDomainRecommendations,,
Microsoft.DomainRegistration/operations,,
Microsoft.DomainRegistration/topLevelDomains,,
Microsoft.DomainRegistration/validateDomainRegistrationInformation,,
Microsoft.DynamicsLcs/lcsprojects,,
Microsoft.DynamicsLcs/lcsprojects/clouddeployments,,
Microsoft.DynamicsLcs/lcsprojects/connectors,,
Microsoft.DynamicsLcs/operations,,
Microsoft.EventGrid/eventSubscriptions,,
Microsoft.EventGrid/extensionTopics,,
Microsoft.EventGrid/locations/eventSubscriptions,,
Microsoft.EventGrid/locations/operationResults,,
Microsoft.EventGrid/locations/operationsStatus,,
Microsoft.EventGrid/locations/topicTypes,,
Microsoft.EventGrid/operations,,
Microsoft.EventGrid/topics,,
Microsoft.EventGrid/topicTypes,,
Microsoft.EventHub/clusters,UDLM,TRUE
Microsoft.EventHub/namespaces,UDLM,TRUE
Microsoft.HanaOnAzure/hanaInstances,,
Microsoft.HDInsight/clusters,,
Microsoft.HDInsight/clusters/applications,,
Microsoft.HDInsight/clusters/operationresults,,
Microsoft.HDInsight/locations,,
Microsoft.HDInsight/locations/azureasyncoperations,,
Microsoft.HDInsight/locations/capabilities,,
Microsoft.HDInsight/locations/operationresults,,
Microsoft.HDInsight/locations/usages,,
Microsoft.HDInsight/locations/validateCreateRequest,,
Microsoft.HDInsight/operations,,
Microsoft.ImportExport/jobs,PROTECTED,TRUE
